Field=#~Integer~#~50|Field=Comment~String~Comment~184|Field=Description~String~Description~84|Field=Designator~String~Designator~68|Field=Footprint~String~Footprint~79|Field=LibRef~String~LibRef~81|Field=Quantity~Integer~Quantity~36|Field=Supplier 1~String~Supplier 1~154|Field=Supplier Part Number 1~String~Supplier Part Number 1~152|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~EEar04.PrjPcb|ReportField=ProjectFullPath~Z:\Documents\zwork\ear\EEar\pcb\BoardRev04\EEar04.PrjPcb|ReportField=Title~Bill of Materials For Project [EEar04.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~130|ReportField=ReportTime~22:38:36|ReportField=ReportDate~21.01.2018|ReportField=ReportDateTime~21.01.2018 22:38:36|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~20.01.2018|ReportField=CurrentTime~23:40:11|ReportField=Date~|ReportField=DocumentFullPathAndName~Z:\Documents\zwork\ear\EEar\pcb\BoardRev04\top.SchDoc|ReportField=DocumentName~top.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~20.01.2018|ReportField=Organization~|ReportField=ProjectName~EEar04.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~EEar04.PrjPcb|ReportField=DataSourceFullPath~Z:\Documents\zwork\ear\EEar\pcb\BoardRev04\EEar04.PrjPcb
31|STM32F407VGT6||U1|TSQFP50P1600X1600X160-100M|STM32F407VGT6|1|Digi-Key|497-11605-ND
32|32.768KHZ||U2|SOJ550P380X254-4M|MC-306|1|Digi-Key|SER2417TR-ND
33|SL869V2||U3|SL869V2_FOOT|SL869V2|1|Digi-Key|943-1029-ND
34|TLV70233DBVT|TLV70233DBVT|U4, U11|SOT95P280X145-5M|TLV70233DBVT|2|Digi-Key|296-32415-1-ND
35|CY7C65213||U5, U12|SOP65P780X200-28M|CY7C65213|2|Digi-Key|CY7C65213-28PVXI-ND
36|ADM3070E||U6, U16|SOIC127P600X175-14N|ADM3070E|2|Digi-Key|ADM3070EARZ-ND
37|LORA_England||U7|DIP16|LORA_MODULE_E|1||
38|STEVAL-MKI129V1-MOUNT-MAMA||U8|STEVAL-MKI129V1|STEVAL-MKI129V1-MOUNT-MAMA|1|Digi-Key|S7040-ND
39|L5973D013TR|IC REG BUCK ADJ 2.5A SOIC8|U10|SOIC127P600X175_HS-9N|L5973D013TR|1|Digi-Key|497-14766-5-ND
40|STEVAL-MKI129V1-MOUNT-PAPA||U17|STEVAL-MKI129V1|STEVAL-MKI129V1-MOUNT-PAPA|1|Digi-Key|732-5319-ND
41|SPM1437HM4H-B||U18|LGA6C165P2X3_376X472X125|SPM1437HM4H-B|1|Digi-Key|423-1212-1-ND
42|PUSH BTN||X1, X2, X3, X4, X6|PUSHBTN|SW1|5|Digi-Key|450-1650-ND
43|SWITCH||X5|SWITCH|SWITCH|1|Digi-Key|563-1164-ND
44|SMA6252A2-3GT50G-50||X7|SMA6252A2-3GT50G-50|SMA_CONN|1|Mouser|523-901-143-6RFX
45|JumperCap|For BOM only|X8, X12, X13, X14||JumperCap|4|Digi-Key|S9337-ND 
46|25.000Mhz||X9|SODFL1270X420-2L|OSC25M|1|Digi-Key|535-9078-1-ND
47|PLS6||X10|PLS6|PLS6|1|Digi-Key|A26418-ND
48|PATCH_ANTENNA||X11|PATCH_ANTENNA|PATCH_ANTENNA|1|Digi-Key|535-11940-ND
49|POWER_TERM||X16|PH5|POWER_TERM|1|Digi-Key| 609-3936-ND
50|104H-TDA0-R01||X17|104H-TDA0-R01|104H-TDA0-R01|1||Y762531
51|16M2764||XS1, XS3|USB_MINI_16M2764|USB_MINI_16M2764|2|Digi-Key|A123107-ND
